#Powered_by_ParaTranz
MIL_FROM_TROOPS;Army soldiers
HAS_CULTURE_UNION;Has culture union
HAS_NOT_CULTURE_UNION;Has no culture union
IS_STATE_CAPITAL;Is state capital
IS_NOT_STATE_CAPITAL;Is not state capital
SUBSIDIZE_ALL_TOOLTIP;Subsidize all factories in the list
UNSUBSIDIZE_ALL_TOOLTIP;Cancel subsidies for all factories in the list
OPEN_ALL_TOOLTIP;Reopen all factories in the list
CLOSE_ALL_TOOLTIP;Close all factories in the list
ON_ENACT_UNCIV_REFORM;When reform is enacted:
EFFECT_BUILD_IN_CAPITAL_DESC;?Y$BLD$?! will occur at:?Y$PROVS$?!
TRIGGER_BUILD_IN_CAPITAL_DESC;?R Infrastructure cannot be implemented now?!
DIPLOMACY_CB_INFO;War justification
COLONIZE_MAX_SLOTS;No more than?Y$NUM$?! nations can compete for colonization here
RIGHT_CLICK_TO_REMOVE_NF;?Y Right-click?! to remove current focus
CONFIRM_REMOVE_COLONY_NF_TITLE;Remove colony national focus
CONFIRM_REMOVE_COLONY_NF_DESC;Your colonization progress will be zeroed. Are you sure you want to remove the focus?
CB_ALLOWED_INSTALL_COMMUNIST_GOV_TYPE;Install communist government
po_install_communist_gov_type;Install communist government
install_communist_gov_cb;Install communism
install_communist_gov_cb_desc;Install a communist government
install_communist_gov_cb_setup;Install a communist government. If achieved, the nation will automatically join our sphere of influence.
install_communist_gov_cb_short;Install communism
CB_ALLOWED_UNINSTALL_COMMUNIST_GOV_TYPE;Overthrow communist government
po_uninstall_communist_gov_type;Overthrow communist government
uninstall_communist_gov_cb;Overthrow communism
uninstall_communist_gov_cb_desc;Overthrow the communist government
uninstall_communist_gov_cb_setup;Overthrow the communist government
uninstall_communist_gov_cb_short;Overthrow communism
NF_OVERWRITE_HEADER;To set a new national focus?Y$NF$?! you must first remove another
NF_OVERWRITE_ENTRY;?Y$NF$?!n in?G$STATE$?!
PRESTIGE_MORALE_BONUS;Morale bonus:?Y$VAL$?!
PRESTIGE_MAX_ORG_BONUS;Organization bonus:?Y$VAL$?!
PRESTIGE_PENALTY_ON_LEADER_TRANSFER_TITLE;Prestige penalty
PRESTIGE_PENALTY_ON_LEADER_TRANSFER_DESC;If we relieve commander?Y$NAME$?! of duty during wartime, our nation will lose?R$VAL$?! prestige.\nAre you sure you want to do this?
REORG_PANEL_BALANCE_UNITS;Balance units
INVEST_PROJECT_NOT_ENOUGH_MONEY;?R We do not have enough funds?!
INVEST_PROJECT_SHORTCUT_MAX;?R Ctrl + Left-click?! to invest maximum amount in this plan (?Y$AMOUNT$?!
INVEST_PROJECT_SHORTCUT_MAX_ALL;?RShift + Left-click?! to invest maximum amount in all plans (?Y$AMOUNT$?!?!
INVEST_PROJECT_CONFIRM;Invest
INVEST_PROJECT_MAX;Maximum
INVEST_PROJECT_TITLE;Investment plan:?Y$LOC$?!"?Y$PROJ$?!
INVEST_PROJECT_TOOLTIP_YOUR_BUDGET;Your budget
INVEST_PROJECT_TOOLTIP_PROJECT_BUDGET;The current budget of the plan is?Y$BUD$?! and the total required is?Y$TOT$?!n You decide to invest?Y$INV$?!
INVEST_PROJECT_TOOLTIP_APPLY;Invest
MIL_MULTI_CONSTRUCTION_TOOLTIP;?Y Left-click + SHIFT?! to build all
MIL_CONSTRUCTION_CANCEL_ALL_SHORT;Cancel all
MIL_CONSTRUCTION_CANCEL_ALL;Cancel all construction
MIL_CONSTRUCTION_CANCEL_ALL_WARNING_TITLE;Cancel all construction
MIL_CONSTRUCTION_CANCEL_ALL_WARNING_DESC;Are you sure you want to cancel all military construction?
SORT_BY_PRESTIGE;Sort by prestige
SORT_BY_NAME;Sort by name
SORT_BY_SELECTED;Sort by selected
ATTACKUSREBEL_SETUP;When units are attacked by rebels
ATTACKUSREBEL_HEADER;Secretary of War report
ATTACKUSREBEL_1;Units under attack!
ATTACKUSREBEL_2;$MONARCHTITLE$
ATTACKUSREBEL_3;We are under attack at $PROV$
ATTACKUSREBEL_4;$ATTACKER$ engages our forces
ATTACKUSREBEL_5;*
ATTACKUSREBEL_6;*
ATTACKUSREBEL_LOG;Our forces are under attack at $PROV$
ATTACKUSREBEL_BTN1;OK
ATTACKUSREBEL_BTN2;OK
ATTACKUSREBEL_BTN3;Go to
ATTACKUSREBEL_MAP;Under attack!
ATTACKTHEMREBEL_SETUP;When units attack rebels
ATTACKTHEMREBEL_HEADER;Secretary of War report
ATTACKTHEMREBEL_1;Attack the enemy!
ATTACKTHEMREBEL_2;$MONARCHTITLE$
ATTACKTHEMREBEL_3;We attack the enemy at $PROV$
ATTACKTHEMREBEL_4;Our forces attack $DEFENDER$, attempting to disarm them
ATTACKTHEMREBEL_5;*
ATTACKTHEMREBEL_6;*
ATTACKTHEMREBEL_LOG;Our forces attack the enemy at $PROV$
ATTACKTHEMREBEL_BTN1;OK
ATTACKTHEMREBEL_BTN2;OK
ATTACKTHEMREBEL_BTN3;Go to
ATTACKTHEMREBEL_MAP;Attack the enemy
SIEGEUSREBEL_SETUP;When rebels begin occupying our territory
SIEGEUSREBEL_HEADER;$MESSENGER$
SIEGEUSREBEL_1;Our territory begins to be occupied
SIEGEUSREBEL_2;$MONARCHTITLE$,
SIEGEUSREBEL_3;$PROV$
SIEGEUSREBEL_4;has begun to be occupied. Do not worry
SIEGEUSREBEL_5;$ATTACKER$
SIEGEUSREBEL_6;will soon be defeated by our forces
SIEGEUSREBEL_LOG;$PROV$ begins to be occupied
SIEGEUSREBEL_BTN1;OK
SIEGEUSREBEL_BTN2;OK
SIEGEUSREBEL_BTN3;Go to
SIEGEUSREBEL_MAP;*
SIEGETHEMREBEL_SETUP;When our forces begin occupying rebel territory
SIEGETHEMREBEL_HEADER;$MESSENGER$
SIEGETHEMREBEL_1;Enemy territory begins to be occupied
SIEGETHEMREBEL_2;$MONARCHTITLE$, our forces begin to occupy
SIEGETHEMREBEL_3;$PROV$.
SIEGETHEMREBEL_4;Our forces will soon eliminate
SIEGETHEMREBEL_5;$DEFENDER$.
SIEGETHEMREBEL_6;They will gladly return to our rule.
SIEGETHEMREBEL_LOG;Our forces begin occupying $PROV$.
SIEGETHEMREBEL_BTN1;OK
SIEGETHEMREBEL_BTN2;OK
SIEGETHEMREBEL_BTN3;Go to
SIEGETHEMREBEL_MAP;*
REMOVE_RANDOM_ECO_REFORMS_EFFECT;Remove?R$VAL$?! economic reforms\n
REMOVE_RANDOM_MIL_REFORMS_EFFECT;Remove?R$VAL$?! military reforms\n
PRODUCTION_FACTORY_PURE_INCOME;Net income yesterday: $VALUE$
PRODUCTION_FACTORY_MARKET_SPENDINGS;Market spendings: $VALUE$
PRODUCTION_FACTORY_POP_PAYCHECKS;Workers' and capitalists' share: $VALUE$
PRODUCTION_FACTORY_TOTAL_BALANCE;Balance yesterday: $VALUE$
PRODUCTION_FACTORY_TODAY_PROFIT;Profit yesterday: $VALUE$
PRODUCTION_FACTORY_PROFITABILITY;Average profit (past $DAYS$ days): $VALUE$
PRODUCTION_FACTORY_CURRENT_BUDGET;Factory current budget: $VALUE$
PRODUCTION_FACTORY_INVESTMENT;From investment: $VALUE$
PRODUCTION_FACTORY_SUBSIDIES;From subsidies: $VALUE$
INFLUENCE_OVERFLOW_TOOLTIP;We invest?Y$VALUE$?! influence points per day to reduce other nations' influence
TRADE_FLOW_PRODUCED;?Y Producers:?W
TRADE_FLOW_USED;?Y Consumers:?W
TRADE_FLOW_MAY_BE_USED;?Y Possible consumers:?W
TRADE_FLOW_TOTAL_PRODUCED;?Y Total produced:?W
TRADE_FLOW_TOTAL_USED;?Y Total consumed:?W
TRADE_FLOW_RGO_NAME;RGO
TRADE_FLOW_DESC_RGO;$POP$ produces $ACTION$$AMOUNT$ units of $RESOURCE$ per day
TRADE_FLOW_DESC_RGO_ACTION_MINING;Mining
TRADE_FLOW_DESC_RGO_ACTION_FARMING;Production
TRADE_FLOW_DESC_ARTISAN;Artisans produce $AMOUNT$ units of $RESOURCE$ per day
TRADE_FLOW_DESC_FACTORY;$FACTORY$ in $STATE$ produces $AMOUNT$ units of $RESOURCE$ per day
TRADE_FLOW_CONSUME_DESC_ARTISAN;Artisans use $AMOUNT$ units of $RESOURCE$ to produce $OUTPUT$
TRADE_FLOW_CONSUME_DESC_RGO;$POP$ uses $AMOUNT$ units of $RESOURCE$ to produce $OUTPUT$
TRADE_FLOW_CONSUME_DESC_FACTORY;$FACTORY$ in $STATE$ uses $AMOUNT$ units of $RESOURCE$ as raw material or to sustain production
TRADE_FLOW_CONSUME_DESC_POPS;$POP$ uses $AMOUNT$ units of $RESOURCE$ as daily need
TRADE_FLOW_CONSUME_DESC_MILITARY;Military uses $AMOUNT$ units of $RESOURCE$ as daily supply
TRADE_FLOW_MAY_USE_MILITARY_DESC;$INPUT$ may be used by the military for supply
TRADE_FLOW_MAY_USE_DESC;$INPUT$ may be used by $PRODUCER$ to produce $OUTPUT$
TRADE_FLOW_MILITARY_SUPPLY;Military consumption
TRADE_FLOW_CURRENT_PRICE;Current price:
TRADE_FLOW_DETAILS;Details
TRADE_FLOW_PART_OF_WORLD_PROD;?Y$PERC$% of world production
EMIGRATION_AT_PROVINCE_TOOLTIP;?Y Emigrating to:?!n$EMILIST$\n?Y Immigrating from:?!n$IMMLIST$
NO_MIGRATIONS_FOUND1_TOOLTIP;Province belongs to:?Y$COUNTRY$?!
NO_MIGRATIONS_FOUND2_TOOLTIP;No recorded transnational migration
NO_MIGRATIONS_FOUND3_TOOLTIP;(Select a province to view details)
PROVINCE_VIEW_BUILD_ALL_TOOLTIP;(Click + CTRL to build in all provinces in the state)
EMIGRATION_ENTRY_TOOLTIP;?R$NUM$?! to?Y$PROV$?!
IMMIGRATION_ENTRY_TOOLTIP;?G$NUM$?! from?Y$PROV$?!
CB_GENERATION_SPEED_BONUS_ON_COLONY_COMPETITION;Colonial competition speed bonus?Y$BONUS$?! with?Y$COUNTRY$?!n for?Y$REGION$?!
CB_GENERATION_BONUS_TOOLTIP;Casus belli generation speed bonus with competing nations:?Y$COUNTRIES$?!n Bonus:?Y$BONUS$?!
CB_GENERATION_BONUS_TROOPS_PRESENCE_TOOLTIP;(?Y$BONUS$?! from other nations' garrisons)
CB_GENERATION_BONUS_OPPONENT_TROOPS_PRESENCE;(?Y$BONUS$?! for?Y$FOR$?! garrison from?Y$AGAINST$?!)
MODIFIER_CB_GENERATION_SPEED_MODIFIER;Speed of casus belli generation
NOT_CONSTRUCTING_CASUS_BELLI_AGAINST;Not constructing casus belli against
MODIFIER_MOBILIZATION_IMPACT;Mobilization impact
MOBILIZATION_IMPACT_LIMIT_DESC;Mobilization impact?Y$IMPACT$?! on war policy?Y$POLICY$?!n Max number of mobilizable units:?Y$UNITS$?!
MOBILIZATION_IMPACT_LIMIT_DESC2;(Active regiments:?Y$CURR$?! Mobilization impact:?Y$IMPACT$?!)
CONSTRUCTING_CASUS_BELLI_AGAINST;Constructing casus belli against
TRIGGER_CB_CREATION_NOT_DISCOVERED;Not constructing casus belli
TRIGGER_CB_CREATION_DISCOVERED;Constructing casus belli
TRIGGER_CB_PROGRESS_LESS;War justification progress:?Y$PERCENTAGE$?W
TRIGGER_CB_PROGRESS_ATLEAST;War justification progress below:?Y$PERCENTAGE$?W
TRIGGER_IS_CONSTRUCTING_CB;Constructing casus belli:?Y$TYPE$?W
TRIGGER_IS_NOT_CONSTRUCTING_CB;Not constructing casus belli:?Y$TYPE$?W
NEED_RELATION_LESS;Diplomatic relations too good. Relations need to be below?Y$LIMIT$?W, current value is?Y$VAL$?W
ALREADY_MAKING_CB;We are already working to legalize war against?Y$TARGET$?W
MAKE_CB_BUTTON;Justify war
MAKE_CB_DESC;Create a reason for war
MAKE_CBTITLE;Justify war
MAPMODE_11;RGO Map
MAPMODE_12;Population Density Map
MAPMODE_13;Nationality Map
MAPMODE_14;Sphere of Influence Map
MAPMODE_15;Supply Limit Map
MAPMODE_16;Party Support Map
MAPMODE_17;Country Ranking Map
MAPMODE_18;Migration Map
MAPMODE_20;Diplomatic Relations Map
WORLD_RANKING;Country Ranking:
WORLD_RANKING_SECONDARY_POWER;?Y$COUNTRY$?W is a Secondary Power
POPULATION_DENSITY_AT_PROVINCE;Total population of?Y$PROV$?W:
NATIONALITY_MAJORITY_AT_PROVINCE;Major nationality in?Y$PROV$?W:
SPHERE_OF_INFL_GREAT_POWER;?Y$COUNTRY$?W is a Great Power
SPHERE_OF_INFL_IS_IN_SPHERE;?Y$COUNTRY1$?W is in the sphere of influence of?Y$COUNTRY2$?W
SPHERE_OF_INFL_IS_INFL_BY;?Y$COUNTRY$?W is influenced by:
PARTY_LOYALTY_EFFECT_DESC;Loyalty of?Y$PROV$?W towards?Y$PARTY$?W will $OPERATOR$?Y$VALUE$?W
PARTY_LOYALTY_EFFECT_OPERATOR_ADD;Increase
PARTY_LOYALTY_EFFECT_OPERATOR_REM;Decrease
PARTY_LOYALTY_EFFECT_OPERATOR_MUL;Multiply
PARTY_LOYALTY_EFFECT_OPERATOR_SET;Set to
PARTY_LOYALTY_DESC_HEADER;Party support in?Y$PROV$?W:
PARTY_LOYALTY_DESC_NEUTRAL;Neutral
PARTY_POPULARITY;Party popularity
PRICE_HISTORY_TIME_RANGE;Past $MONTHS$ months
party_loyalty_focus;Party loyalty
fascist_focus;?Y Fascist?! party loyalty
reactionary_focus;?Y Reactionary?! party loyalty
conservative_focus;?Y Conservative?! party loyalty
socialist_focus;?Y Socialist?! party loyalty
communist_focus;?Y Communist?! party loyalty
liberal_focus;?Y Liberal?! party loyalty
anarcho_liberal_focus;?Y Anarcho-Liberal?! party loyalty
NATIONAL_FOCUS_PARTY_LOYALTY_DESC;Daily loyalty change:?Y$VAL$?W
PARTY_WITH_IDEOLOGY_NOT_EXIST;Currently no?Y$IDEOLOGY$?W party exists
NATIONAL_FOCUS_PARTY_LOYALTY_EFFECT;Due to national focus, $PARTY$'s loyalty changes by $VAL$ per day
SUBSTATE_OF_NOCOLOR;Substate of
SUBSTATE;Substate
SUBSTATE_JOIN_WAR_DESC;Substate of?Y$COUNTRY$?W, will join that side in war
IS_NOT_SUBSTATE_OF;Not substate of
IS_SUBSTATE_OF;Is substate of
IS_NOT_SUBSTATE;Is not substate
IS_SUBSTATE;Is substate
ANY_SUBSTATE;Any substate whose overlord is
acquire_substate_region;Acquire substate region
acquire_substate_region_desc;Acquire a region from an enemy?Y substate?W
acquire_substate_region_short;Acquire $STATE$
acquire_substate_region_setup;Acquire $STATE$ from $RECIPIENT$
become_independent;Gain independence
become_independent_short;$ACTOR$ gains independence from $RECIPIENT$'s rule
become_independent_setup;$ACTOR$ gains independence from $RECIPIENT$'s rule
make_puppet;Install puppet regime
make_puppet_short;$RECIPIENT$ becomes puppet of $ACTOR$
make_puppet_setup;$RECIPIENT$ becomes puppet of $ACTOR$
make_puppet_desc;Become a puppet
RALLY_POINT_INFO;If you set this province as a?Y rally point?!, new units formed in adjacent provinces will rally here\n(View the recruitment map for more details)
RALLY_POINT_ENABLE_INFO;Set or unset this province as a rally point
RALLY_POINT_MERGE_INFO;Enable or disable auto-merge\n(Units will auto-merge up to the local supply limit)
RALLY_POINT_PROVINCE_INFO;$PROV$ is a?Y rally point?!
RALLY_POINT_PROVINCE_MERGE_INFO;All units arriving here will merge up to?Y$LIMIT$?!
CB_ALLOWED_MAKE_PUPPET;Install puppet regime
DIPLOMACY_NEGOTIATE_SUBSTATE;We cannot negotiate with?Y substates?W
DIPLOMACY_NEGOTIATE_WE_SUBSTATE;We are a?Y substate?W and cannot negotiate with other nations
DECL_WAR_NO_SUBSTATE;We cannot declare war on?Y substates?W
DIPLO_WE_SUBSTATE;We are their substate
DIPLO_THEY_SUBSTATE;They are our substate
SELECT_CB_CREATION_TYPE;Select the casus belli we wish to create
CB_CREATION_DETAIL;Creating a?Y$TYPE$?! casus belli, this takes about?Y$DAYS$?!\nIf this leaks early, our nation will gain at most?R$BADBOY$?! infamy
CB_MANUFACTURE_TECH;War justification efficiency
CB_CREATE_TECH;War justification efficiency: $VAL$
SUPPRESSION_TECH_DESC;Suppression efficiency: $VAL$
CB_CREATION_TIME_DAYS;It takes about?Y$DAYS$?! to complete war justification
CB_NOT_ON_PUPPETS;We cannot justify war against?Y puppets?W and?Y substates?W
CB_NOT_ON_SPHERES;We cannot justify war against nations within our sphere of influence
NO_WAR_JUSTIFICATION;We have no legitimate reason to declare war on them
NOT_HOSTILE_BUILD;Non-hostile
ACW_NAME;Brother Against Brother
ACW_DESC;As the Southern states attempt to secede from the Union, civil war looms in North America. The outcome of the war is yet unknown, but it promises to be a new kind of warfare—both sides possess the recently invented railroad, telegraph, and repeating rifle. Meanwhile, Britain is testing the world's first steam-powered ironclad warship, which will undoubtedly revolutionize naval warfare. Across the globe, more and more nations are competing to industrialize, accelerating the Industrial Revolution. The era of change has arrived!
EVTNAME90000;$CB_TARGET_NAME_ADJ$ Threat
EVTDESC90000;It is well known that $CB_TARGET_NAME$ is plotting to invade us. It is only a matter of time before they attack, and we must strike first. Fortunately, a recent pamphlet detailing their nefarious plans has been widely printed, and angry citizens have rallied to our banner.
EVTOPTA90000;They are about to attack!
EVTNAME90001;Military Action Against $CB_TARGET_NAME$
EVTDESC90001;It is extremely embarrassing that several of our soldiers were caught while infiltrating $CB_TARGET_NAME$ territory wearing their uniforms. There are rumors they were sent to provoke border disputes to legalize our invasion. It is best not to add fuel to the fire now.
EVTOPTA90001;What are you talking about?
EVTNAME90002;Brutal $CB_TARGET_NAME$
EVTDESC90002;The people have long suffered under the brutal rule of $CB_TARGET_NAME$. For the well-being of the masses, we must expose the brutal rule of $CB_TARGET_NAME$ to the world and bring the people in their sphere of influence under our protection for mutual prosperity.
EVTOPTA90002;Save them!
EVTNAME90003;Brutal $CB_TARGET_NAME$
EVTDESC90003;Despite presenting ample evidence of the brutal rule of $CB_TARGET_NAME$, it appears that neither international opinion nor the Great Powers support our efforts to rescue those oppressed nations.
EVTOPTA90003;Fools!
EVTNAME90004;Protect $CB_TARGET_NAME$
EVTDESC90004;Without the protection of a Great Power like us, $CB_TARGET_NAME$ is very insecure. To protect them, we will bring them into our sphere of influence, though they may foolishly resist in the short term. After all, if they were wise, they would already be a great power.
EVTOPTA90004;We will help you.
EVTNAME90005;Humiliating Defeat at $CB_TARGET_NAME_ADJ$
EVTDESC90005;Although we only sought to bring $CB_TARGET_NAME$ into our sphere of influence to protect them, they have repaid our kindness with hostility. The international situation is turning against us, and world opinion opposes our actions.
EVTOPTA90005;Very well.
EVTNAME90006;End $CB_TARGET_NAME_ADJ$ Imperial Policy
EVTDESC90006;Why does $CB_TARGET_NAME$ get all the rich colonies? This is very unfair! They may not even be properly exploiting, or educating, the indigenous peoples! We must do something—we want a place in the sun!
EVTOPTA90006;Very good.
EVTNAME90007;Colonial Setback
EVTDESC90007;Although we have presented legitimate demands with humility, international opinion still does not support restoring the colonial balance between our nation and $CB_TARGET_NAME$. Though this is a setback, we firmly believe we will one day succeed in building an empire where the sun never sets.
EVTOPTA90007;Very good.
EVTNAME90008;The Time for Action Has Come!
EVTDESC90008;Everyone knows that $CB_TARGET_NAME$'s feet have grown too big for its boots. They have strutted on the world stage for too long, always believing they can do as they please. Thankfully, the rest of the world and our own people firmly support us: $CB_TARGET_NAME$ must be taught a lesson.
EVTOPTA90008;Very good.
EVTNAME90009;Bewildered Fools!
EVTDESC90009;Although $CB_TARGET_NAME$ is arrogant towards us, others turn a blind eye. Their so-called "sovereignty" allows them to build armies, act as they please, and show us no respect. They even spread rumors that we are the arrogant ones!
EVTOPTA90009;Very good.
VOTER_ISSUES;Voter Issues
OL_VIEW_NATFOCUS;Open?Y National Focus?W interface
OL_VIEW_NATFOCUS_HEADER;National Focus
OL_VIEW_NATFOCUS_TOOLTIP;National Focus (?Y$FOCUS$?! in?Y$STATE$?!)
OL_VIEW_RALLYPOINTS;Open?Y Rally Points?W interface
OL_VIEW_RALLYPOINTS_HEADER;Rally Points
OL_VIEW_RALLYPOINTS_TOOLTIP;New units formed in adjacent provinces will rally at?Y$PROV$?!
OL_VIEW_RALLYPOINTS_MERGE_TOOLTIP;and will merge up to?Y$LIMIT$?! upon arrival
OL_VIEW_MERGE_ON;?G (Auto-merge enabled)?!
OL_VIEW_MERGE_OFF;?Y (Auto-merge disabled)?!
OUR_CB_DETECTED_SETUP;When our war justification process is detected
OUR_CB_DETECTED_HEADER;$MONARCHTITLE$
OUR_CB_DETECTED_1;War justification
OUR_CB_DETECTED_2;We used
OUR_CB_DETECTED_3;?Y$CASUS$?! as reason
OUR_CB_DETECTED_4;to justify
OUR_CB_DETECTED_5;war against $TARGET$
OUR_CB_DETECTED_6;has been discovered! This will increase?R$BADBOY$?! infamy
OUR_CB_DETECTED_LOG;Our war justification process against $TARGET$ has been discovered.
OUR_CB_DETECTED_BTN1;OK
OUR_CB_DETECTED_BTN2;OK
OUR_CB_DETECTED_BTN3;Go to
OUR_CB_DETECTED_MAP;*
CB_TOWARDS_US_DETECTED_SETUP;When a war justification process against us is detected
CB_TOWARDS_US_DETECTED_HEADER;$MONARCHTITLE$
CB_TOWARDS_US_DETECTED_1;War justification
CB_TOWARDS_US_DETECTED_2;$COUNTRY$ uses
CB_TOWARDS_US_DETECTED_3;?Y$CASUS$?! as reason
CB_TOWARDS_US_DETECTED_4;to justify
CB_TOWARDS_US_DETECTED_5;aggression against our nation
CB_TOWARDS_US_DETECTED_6;has been discovered!
CB_TOWARDS_US_DETECTED_LOG;$COUNTRY$A's war justification process against our nation has been discovered.
CB_TOWARDS_US_DETECTED_BTN1;OK
CB_TOWARDS_US_DETECTED_BTN2;OK
CB_TOWARDS_US_DETECTED_BTN3;Go to
CB_TOWARDS_US_DETECTED_MAP;*
OTHERS_CB_DETECTED_SETUP;When a war justification process against a nation is detected
OTHERS_CB_DETECTED_HEADER;$MONARCHTITLE$
OTHERS_CB_DETECTED_1;War justification
OTHERS_CB_DETECTED_2;$COUNTRY$ uses
OTHERS_CB_DETECTED_3;?Y$CASUS$?! as reason
OTHERS_CB_DETECTED_4;to justify
OTHERS_CB_DETECTED_5;war against $TARGET$
OTHERS_CB_DETECTED_6;has been discovered!
OTHERS_CB_DETECTED_LOG;$COUNTRY$A's war justification process against $TARGET$ has been discovered.
OTHERS_CB_DETECTED_BTN1;OK
OTHERS_CB_DETECTED_BTN2;OK
OTHERS_CB_DETECTED_BTN3;Go to
OTHERS_CB_DETECTED_MAP;*
CB_gen_plus;Casus belli generation speed increased
CB_gen_minus;Casus belli generation speed decreased
CB_gen_plus_desc;War justification completes faster
CB_gen_minus_desc;War justification takes longer
BUILDING_AT_MAX_TERRAIN;Level $CURR$/$MAX$ (?R$TERRAINMOD$?!TERRAIN$)
PRODUCTION_INVEST;Overseas Investment
PRODUCTION_TAB_INVEST;Show overseas investment overview
FLAG_SUBMENU_INTERESTING;Set as interested nation
FLAG_SUBMENU_NOTINTERESTING;Set as?Y not interested?! nation
MESSAGE_TYPE_INTERESTING;Interested
MESSAGE_TYPE_NOT_INTERESTING;Other
MESSAGE_SEARCH;Search:
MESSAGE_BUTTON_SEARCH;Search
MESSAGE_BUTTON_CLEAR;Clear
MESSAGE_SEARCH_TOOLTIP;Separate keywords with?Y spaces?! to filter the list
SIDEMENU_menubar_msg_settings;Click to open message filter settings
RULE_BUILD_FACTORY_INVEST;Build overseas factory
RULE_EXPAND_FACTORY_INVEST;Expand overseas factory
RULE_OPEN_FACTORY_INVEST;Reopen overseas factory
RULE_BUILD_RAILWAY_INVEST;Investors can build overseas railways
RULE_CAN_INVEST_IN_POP_PROJECTS;Invest in private construction projects
RULE_POP_BUILD_FACTORY_INVEST;Investors can build overseas factories
RULE_POP_EXPAND_FACTORY_INVEST;Investors can expand overseas factories
