#Powered_by_ParaTranz
EVTNAME5002;Stanley Cup
INFRA_LEVEL_HERE;Infrastructure level is ?Y$VAL$%?W
fascist_group;Fascist Party
conservative_group;Conservative and Reactionary Parties
socialist_group;Socialist and Communist Parties
liberal_group;Liberal and Anarchist Parties
COALITION_WIN;?Y$IDE$?W coalition has won $VAL$% of the vote and will form the government
COLONY_SUCCESS_SETUP;When our nation successfully colonizes a region
COLONY_FAIL_SETUP;When our nation fails to colonize a region
TOPBAR_INC_SPEED;Increase speed
REMOVE_TOPBAR_DEC_SPEED;Speed up
TOPBAR_CLOSE_OUTLINER;Close outliner
TOPBAR_OPEN_OUTLINER;Open outliner
SLOWEST_SPEED;Slowest
SLOW_SPEED;Slow
NORMAL_SPEED;Normal
FAST_SPEED;Fast
FASTEST_SPEED;Fastest
TOPBAR_DATE;Current time\n(Click to pause)
TOPBAR_DATE_IS_PAUSED;Current time\n(Click to unpause)
TOPBAR_PAUSE_INDICATOR;Game is paused
TOPBAR_SPEED_INDICATOR;Current game speed: ?Y$SPEED$?W
PLAYER_COUNTRY_TOPBAR_RANK;$NAME$ is a ?Y$RANK$?W
HAS_TECH_SCHOOL;Currently ?Y$TECH$?W\n
HAS_NOT_TECH_SCHOOL;Does not accept ?Y$TECH$?W\n
NEW_CORE_EFFECT_TAG;$TAG$ will gain the core of ?Y all provinces?W\n
ANY_OWNED_LIMITED;All provinces meeting the following conditions\n
TECH_MINE_SIZE;Mine size
TECH_FARM_SIZE;Farm size
USA_absolute_monarchy;Kingdom of America
USA_absolute_monarchy_ADJ;American
USA_hms_government;Kingdom of America
USA_hms_government_ADJ;American
USA_proletarian_dictatorship;People's Republic of America
USA_proletarian_dictatorship_ADJ;American
ENG_proletarian_dictatorship;Worker's Republic
ENG_proletarian_dictatorship_ADJ;British
BOH_democracy;Czech Republic
BOH_democracy_ADJ;Czech
TUR_democracy;Turkey
TUR_democracy_ADJ;Turkish
KUK_democracy;Danubian Federation
KUK_democracy_ADJ;Danubian
BAV_proletarian_dictatorship;Bavarian Soviet Republic
RUS_proletarian_dictatorship;Soviet Union
RUS_proletarian_dictatorship_ADJ;Soviet
NO_TECH_SELECTED;No nation selected
IS_CIVILIZED;Is a civilized nation
IS_NOT_CIVILIZED;Is an uncivilized nation
IS_INDEP;Free from foreign influence
IS_NOT_INDEP;Under foreign influence
ELECTION_INFO_IN_GOV;Election in progress
REGIMENT_POP_NAME;$POP$ $NUM$$TYPE$ Regiment
REGIMENT_HOME_NAME;$HOME$ $NUM$$TYPE$ Regiment
SUBUNIT_POP;?Y$CULTURE$?W $TYPE$ from ?Y$LOCATION$?W
army_tech_research_bonus;Army technology research
commerce_tech_research_bonus;Commerce technology research
culture_tech_research_bonus;Culture technology research
industry_tech_research_bonus;Industry technology research
navy_tech_research_bonus;Navy technology research
THERE_ARE_BACKING;?Y$VAL$?W of the people demand this reform.
ORG_EXPLANATION_TT;The higher this value, the more violent uprisings will be.
COLONIAL_MIGRATION_TECH;Colonial Migration
COMBAT_WIDTH_TECH;Tactical Width
PLURALITY_EXPLANATION;Plurality refers to the level of awakening in our nation. Experiences, both successful and failed, remind the people to strive for that which is called freedom.
REMOVE_REVANCHISM_EXPLANATION;This term comes from the French word "revanche" (revenge). Revanchism refers to reclaiming lands that were once ours. Our people are willing to make greater sacrifices to achieve this goal.
GAIN_PROVINCE;Gained ?Y$WHERE$?W from ?Y$WHO$?W\n
build_kiel_canal_title;Build the Kiel Canal
build_kiel_canal_desc;Building a canal between the Baltic Sea and the North Sea will greatly benefit our shipping, and Kiel will become strategically significant.
build_suez_canal_title;Build the Suez Canal
build_suez_canal_desc;Shipping to the Far East and Indian Ocean has always been a great problem, as we need to go around the Cape of Good Hope to reach there. But if the Suez Canal is built, it will greatly shorten our voyage to Asia, making it a modern engineering project of great significance.
build_panama_canal_title;Build the Panama Canal
build_panama_canal_desc;The suggestion to build this great canal dates back to the time when this region was first discovered. The entire North and South American continent is narrowest here. With modern engineering, building a canal here can shorten the voyage from the Atlantic to the Pacific by several days.
REVANCHISM_LOWER;Revanchism less than ?Y$VAL$?W\n
REVANSCHISM_ATLEAST;Revanchism greater than ?Y$VAL$?W\n
CANAL_1;Kiel Canal
CANAL_2;Suez Canal
CANAL_3;Panama Canal
ENABLE_CANAL;Build ?Y$NAME$?W!\n
CANAL_NOT_ENABLED;?Y$NAME$?W not yet built
CANAL_ENABLED;?Y$NAME$?W already exists
ADMINISTRATIVE_TAX_EFFICIENCY;Administrative tax efficiency: ?Y$VALUE$?W%
AVG_MIL_ON_MAP;Average militancy: ?Y$VALUE$?W
POP_PRODUCED;Produced: ?Y$VAL$?W
POP_SOLD;Sold: ?Y$VAL$?W
POP_SOLD_DOMESTIC;Sold (domestic): ?Y$VAL$?W
POP_SOLD_EXPORT;Sold (export): ?Y$VAL$?W
POP_WANT_BOUGHT;Bought: ?Y$VAL$?W
POP_WANT_BUY;Demand: ?Y$VAL$?W
POP_WANT_AFFORD;Purchase power: ?Y$VAL$?W
POP_PRODUCER_MARKET;Producers
POP_WORLD_MARKET;?Y World Market?W
OR_TRIG_SHORT;Parallel conditions
GENERAL;General
ADMIRAL;Admiral
CURR_COMB_STR;Current strength is
CURR_COMB_ORG;Organization is
UW_ASSIGN;Auto-assign
RANK_PRESTIGE;Prestige
RANK_PRESTIGE_D;Prestige gradually accumulates as you develop culture in your nation.
RANK_INDUSTRY;Industry
RANK_INDUSTRY_D;Industry rating represents your level of industrialization, determined by the number of factories and total production of goods in your nation.
RANK_MILITARY;Military
RANK_MILITARY_D;Military refers to your military strength, determined by the size and equipment level of your army.
RANK_TOTAL_D;The eight nations with the highest ratings are called ?Y Great Powers?W, who can influence and control weaker nations. The eight slightly weaker nations are called ?Y Secondary Powers?W, who have the ability to colonize and at times challenge the Great Powers. The remaining nations are divided into ?Y Civilized Nations?W and ?Y Uncivilized Nations?W based on whether they are westernized.
TYPE_SPECIAL;Other
COVIEW_ORG_VALUE;Current organization level
COVIEW_STR_NAVAL;Number of fleet vessels
COVIEW_STR_LAND;Total number of soldiers fighting on this side
MAY_NOT_RETREAT;This is impossible and dishonorable — the enemy will not relent when you try to retreat
COMBAT_DICE;Cumulative deaths on this side at this stage
COMBAT_TERRAIN;Terrain penalty (attack disadvantage)
COMBAT_CROSSING;River crossings and beach landings are quite disadvantageous to the attacker
COMBAT_DIGIN;The defender's complete trench system is quite disadvantageous to the attacker
PRODUCTION_COST_BUILD;Construction cost: ?Y$VAL$?W
PRODUCTION_COST_INPUT;Input cost: ?Y$VAL$?W
PRODUCTION_NO_PROJECT;No plans
PRODUCTION_PROJECT_MONEY;This project requires ?Y$NEED$?W, with ?Y$MONEY$?W obtained
WAR_HAS_COMPLETE_VICTORY;Complete victory
DIPLOMACY_CAN_INTERVENE;War intervention
DIPLOMACY_CANNOT_INTERVENE;War intervention\nWe cannot join this side because:
DIPLOMACY_OPINION_INFLUENCE;?Y$GP$?W's opinion: ?Y$OPINION$?W
DIPLOMACY_OPINION_INFLUENCE2;?Y$GP_ADJ$?W influence: ?Y$VALUE$?W
DIPLOMACY_SET_PRIO_DESC;Influence represents a ?Y Great Power?W's ability to influence the decisions of other nations.
DIPLOMACY_PRIMARYCULTURE_DESC;Primary culture determines who are the first-class citizens of the nation
DIPLOMACY_ACCEPTEDCULTURE_DESC;Accepted culture refers to cultures our nation can accept
PROJECT_BUILD;Build
PROJECT_REOPEN;Reopen
PROJECT_EXPAND;Expand
EVTNAME22500;Stock Market Crash!
EVTDESC22500;It is a dark day for $COUNTRY$. The financial district of $CAPITAL$ is shocked by the bursting of the speculative bubble. Real estate prices rose rapidly over the past year and a half, and some analysts repeatedly warned that prices were at unnatural highs due to inflation, but bull market participants ignored all warnings. Voices within the government have called for stronger regulation of banks and currency, demanding an end to what they call "this dog-eat-dog failure of capitalism."
EVTOPTA22500;Regulate! Tax! Seize! Panic!
EVTOPTB22500;Balance the government budget, deregulate, and stabilize currency.
stock_market_crash;Stock Market Crash
stock_market_crash_desc;Our nation is affected by the stock market crash.
great_depression;Great Depression
EVTNAME22510;Great Depression
EVTDESC22510;The great crash of the $CAPITAL$ stock market has evolved into a more severe form. Plunging depositor confidence in banks has led to bank runs, with people scrambling to withdraw their life savings. More and more banks and credit institutions are failing, creating a domino effect across the entire $COUNTRY_ADJ$ financial sector. Loan defaults and savings wiped out have quickly spread the crisis to other private industrial sectors. The manufacturing sector collapsed almost overnight, leading to widespread unemployment. The close economic ties of the Western world soon spread this crisis to other nations, and its effects echoed across the world, known as the $YEAR$ Great Depression.
EVTOPTA22510;This is just a short-term crisis, no one's fault.
EVTNAME22520;Free Banking System
EVTDESC22520;Since $COUNTRY$ has no laws constraining private bank behavior, some private institutions are issuing their own currency. While there are arguments that people's hard-earned savings are too important to be left in the private sector, developments in one region of our nation are quite different — there, the presence of an overabundance of banking institutions allows people to freely choose where to deposit their money with banks they truly understand and trust.
EVTOPTA22520;This system could always collapse, what then?
EVTOPTB22520;As long as they're happy, I'm fine with it.
EVTNAME22530;Regional Joint-Stock Railway
EVTDESC22530;A newly formed railway company in our nation has issued internal stock to fund its growing operations, and is now seeking buyers and investors within the province. The company's CEO has approached local politicians, hoping they can assist with the company's stock listing, emphasizing that the extension of the provincial rail network is absolutely beneficial and should be supported. Some believe this would contradict the government's principle of neutrality toward private entrepreneurs, while others see it as an opportunity for development.
EVTOPTA22530;We will certainly lend a hand and support the excellent initiative of these private entrepreneurs.
EVTOPTB22530;I think the government should intervene as little as possible.
institute_central_bank_title;Federal Reserve Bank Act
institute_central_bank_desc;The government has been operating the central bank for some time now, and voices have emerged in economic debates calling for the minting power to be brought under strict government monopoly. Supporters say this is beneficial for economic stability, while opponents see it as an infringement on the principle of free trade.
central_bank_established;Central Bank
central_bank_established_desc;Our government's central bank strictly monopolizes the minting of currency.
EVTNAME22540;Stock Exchange
EVTDESC22540;Buy Greenwood & Burns at 9.5, sell at 9.76! Altman & Sons at 8.12, sell! Sell!\n\nLocal businessmen in one of our provinces have formed a joint venture to establish a regional stock exchange primarily for commodity trade. This commercial activity will undoubtedly improve local production efficiency!
EVTOPTA22540;Good news!
local_stock_exchange;Stock Exchange
local_stock_exchange_desc;There is a stock exchange in this province, increasing local goods output.
EVTNAME22550;Reckless Currency
EVTDESC22550;A bank run occurred in this state today following reports that a local bank issued currency far exceeding its liquid assets. The situation has escalated to the national and parliamentary level, with opponents of the free banking system demanding stricter government regulation of banks, while industry interest groups and free trade lobbyists firmly oppose this.
EVTOPTA22550;The free banking system is the cornerstone of free trade.
EVTOPTB22550;The nation's economic policy must not be at the mercy of speculators' whims.
EVTNAME22560;Economic Boom
EVTDESC22560;With basic needs met and prolonged low unemployment, our nation has entered a period of rapid economic development. High savings rates and an innovative people, combined with large investment banks and advanced economic methods, put us in an unprecedented excellent position to develop national industries and take our economy to new heights.
EVTOPTA22560;Excellent!
EVTOPTB22560;Distribute this wealth fairly and reasonably.
economic_boom;Economic Boom
economic_boom_desc;Our nation's economy is developing rapidly, thanks to investment banks and prolonged low unemployment.
EVTNAME22570;Flagship Company Bankruptcy
EVTDESC22570;After long-term debt-financed operations, a large company in one of our states has recently gone bankrupt. Local politicians have petitioned the government to support this company, claiming the downturn is only temporary and it can recover if given time to reorganize and restructure. While we can provide assistance, the armchair politicians in parliament have strongly criticized this idea, calling it an absurd infringement on the principles of free trade and government non-interference.
EVTOPTA22570;Obviously we must help this company through this difficult period.
EVTOPTB22570;We will not use government money to bail out a private company.
EVTNAME22580;Railway Trust Exposed!
EVTDESC22580;In $COUNTRY$, news of the so-called railway trust exposed by the regional antitrust committee is creating a stir. Local capitalists argue these claims are absurd, claiming they neither deliberately manipulated prices nor that price monopolies actually occurred. Many in the working class are very angry about this, feeling strongly that capital tycoons are benefiting by ruthlessly squeezing the impoverished. Dissolving this trust would set back local railway construction by several years, but not doing so might provoke the lower classes.
EVTOPTA22580;We must open this manipulated market and protect workers' interests at all costs.
EVTOPTB22580;Any form of infringement on free trade is unacceptable.
BUDGET_GOLD_INCOME_DESC;Gold mine income
TOTAL_TAX_EFFICIENCY;Tax rate: ?Y$VAL$?W
TOTAL_TAX_EFFICIENCY_BASED;Estimated income:
TAX_POOR_DESC;This determines how much tax the poor class must pay. Excessively heavy tax burdens may leave them without sufficient money to meet basic needs.
TAX_MIDDLE_DESC;This determines how much tax the middle class must pay. Excessively high tax rates may leave them without sufficient money for daily necessities and career development.
TAX_RICH_DESC;This determines how much tax the rich class must pay. Excessively high taxes may leave them without sufficient money for consumption and factory investment.
MIL_COST_DESC;Military supply expenditures.
NAT_STOCK_DESC;Inventory expenditures for purchasing national reserves.
IND_SUP_DESC;Government subsidies to factories and national cash reserves will help factories purchase materials and pay wages.
TARIFFS_DESC;Tariffs are an additional tax on imported goods, the revenue goes to the national treasury. Negative tariffs mean your nationals receive subsidies when importing goods.
WARSUBSIDIES_EXPENSE;War Subsidies: ?R$VAL$?W
WARINDEMNITIES_EXPENSE;War Indemnities: ?R$VAL$?W
WARSUBSIDIES_INCOME;War Subsidies: ?G$VAL$?W
WARINDEMNITIES_INCOME;War Indemnities: ?G$VAL$?W
REMOVE_BUDGET_DIPL_DESC;Various diplomatic-related income and expenditures
sami;Sami
pan_romanian;Romanian
MODIFIER_MOBILISED;Mobilized: $VALUE$
MODIFIER_OVERSEAS;Overseas penalty: $VALUE$
TRADE_OVERSEAS_NEED;$VAL$ units from overseas provinces\n
BUDGET_OVERSEAS;Overseas maintenance
BUDGET_DIPL_DESC;Income and expenditures generated by diplomacy or peace agreements.
POP_DETAILS_INTERNAL_MIGRATION;Internal migration:
POP_DETAILS_EXTERNAL_MIGRATION;External migration:
POP_DETAILS_COLONIAL_MIGRATION;Colonial migration:
PRODUCTION_OUTPUT_YESTERDAY;Yesterday's output: ?Y$VALUE$?W
PRODUCTION_OUTPUT_GOODS_TOOLTIP2;Maximum output: ?Y$CURR$?W
PRODUCTION_CURRENT_STOCKPILE;Current stockpile: ?Y$VALUE$?W
POP_DAILY_INTEREST;Savings interest: ?Y$VAL$?W?!
MODIFIER_OVERSEAS_PRODUCTION_PENALTY;RGO and Factory Overseas Penalty: $VALUE$
PRODUCTION_FACTORY_EMPLOYEECOUNT_TOOLTIP2;Current employees: $EMPLOYEES$/$EMPLOYEE_MAX$
LIFERATING_EFFECT;$DIRECTION$$VALUE$ standard of living\n
MILITARY_ARMY_COUNT_TOOLTIP;Number of armies: ?Y$VALUE$?W
MILITARY_NAVY_COUNT_TOOLTIP;Number of navies: ?Y$VALUE$?W
MILITARY_ARMY_CONSTRUCTION_TOOLTIP;Regiments under construction: ?Y$VALUE$?W
MILITARY_NAVY_CONSTRUCTION_TOOLTIP;Ships under construction: ?Y$VALUE$?W
MILITARY_SORT_BY_TYPE_TOOLTIP;Sort by leader type
MILITARY_SORT_BY_NAME_TOOLTIP;Sort by name
MILITARY_SORT_BY_ASSIGNMENT_TOOLTIP;Sort by assignment
MILITARY_SORT_BY_STRENGTH_TOOLTIP;Sort by strength
MILITARY_SORT_ASSIGNMENT;Assignment
MILITARY_BACKGROUND;Background: ?Y$NAME$?W
MILITARY_PERSONALITY;Personality: ?Y$NAME$?W
REMOVE_MILITARY_LEADER_NAME_TOOLTIP;?Y$NAME$?W is assigned to ?Y$ARMY$?W,\nCurrently located at ?Y$$LOCATION?W
MILITARY_STRENGTH_TOOLTIP2;Unit strength is ?Y$PERCENT$%?W\nStrength: $VALUE$/?Y$MAX$?W
MILITARY_SHIPSTRENGTH_TOOLTIP2;Unit strength is ?Y$PERCENT$%?W
MILITARY_REGIMENTS_TOOLTIP;Number of regiments: ?Y$VALUE$?W
MILITARY_SHIPS_TOOLTIP;Number of ships: ?Y$VALUE$?W
MILITARY_CURRENT_LOCATION;Current location: ?Y$LOC$?W
REMOVE_MILITARY_MOBILIZE;Mobilize our people
REMOVE_MILITARY_MOBILIZE_DESC;Add to mobilization list
REMOVE_MILITARY_DEMOBILIZE;Demobilize
REMOVE_MILITARY_DEMOBILIZE_DESC;Add to demobilization list
MILITARY_WAR_EXHAUSTION;War Exhaustion
MILITARY_SUPPLY_CONSUMPTION;Supply consumption
MILITARY_ORG_REGAIN;Organization recovery
MILITARY_ARMY_ORG;Army organization
MILITARY_NAVY_ORG;Navy organization
MILITARY_UNIT_EXPERIENCE;Initial experience
MILITARY_RECRUIT_TIME;Recruit time
MILITARY_COMBAT_WIDTH;Tactical width
COMWID_BASE;Base value: ?Y$VAL$?W
MILITARY_WAR_EXHAUSTION_TOOLTIP;War Exhaustion: $VALUE$
MILITARY_MAX_WAR_EXHAUSTION_TOOLTIP;Max War Exhaustion: $VALUE$
MILITARY_BASEVALUE_PERCENT;Base value: ?Y100%?W
MILITARY_BASEVALUE;Base value: ?Y0.00?W
AVAILABLE_EXPORTS;Export market: $VAL$
MILITARY_BUILD_UNIT_TOOLTIP;Build ?Y$NAME$?W at ?Y$LOC$?W
MILITARY_CANCEL_BUILD_UNIT_TOOLTIP;Cancel construction of ?Y$NAME$?W at ?Y$LOC$?W
traditional_academic;Traditional Academia
army_tech_school;Military-Industrial Complex
naval_tech_school;Sea Power and Merchant Fleet
industrial_tech_school;Corporate Industrialism
culture_tech_school;Avant-Garde Intellectuals
commerce_tech_school;Business Schools and Tycoon Capitalism
prussian_tech_school;Junkers, Army and Krupp
EVTNAME14730;Anti-Colonial League
EVTDESC14730;When we look at all the injustice occurring in $COUNTRY$'s colonies, it's no surprise that in many places far from our coastlines, "$COUNTRY_ADJ$" has become synonymous with theft, robbery, and murder. Today, our message is clear and loud: $COUNTRY$! Stop colonialism! $COUNTRY_ADJ$ radicals have formed an Anti-Colonial League. Although ostensibly led by intellectuals advocating colonial independence, our secret police reports clearly indicate this league has close ties with international socialists.
EVTOPTA14730;Condemn this league
EVTOPTB14730;Ignore this league
EVTOPTC14730;Support this league
EVTNAME14740;Model Colony
EVTDESC14740;The colonial rivalry between European nations for Africa and indeed the entire world is intensifying, and $COUNTRY$ is no exception. A $COUNTRY_ADJ$ colony has become a model of European colonial rule recognized worldwide in the past few years. The colonial experience gained from this colony has provided considerable assistance to $COUNTRY_ADJ$ scientific research and has brought international reputation in European parliaments and courts.
EVTOPTA14740;Excellent!
EVTNAME14750;Debate on Colonial Policy
EVTDESC14750;"Although I absolutely respect my honorable patriotic colleagues in the opposition, I must question their motives in constantly raising the topic of colonial department expenditures. Colonialism is the cornerstone of government policy and deserves funding." With a sharp debate unfolding in the House of Lords, colonial policy has become a hot topic in $COUNTRY$ again. Opposition members advocate cutting the colonial department's budget, and they and most members of the House of Commons have launched a massive attack on the House of Lords, trying to persuade swing voters or those casually disposed to elections to support their policy.
EVTOPTA14750;Accept the conservative view
EVTOPTB14750;Accept the liberal view
EVTNAME14760;Colonial Corruption
EVTDESC14760;An emerging corruption scandal in the $COUNTRY_ADJ$ colonies has shaken $CAPITAL$. A major newspaper published a report detailing a massive network of power-for-money trades, exchanging secret stock benefits for preferential treatment in colonial development and trade. Critics of government policy point to relatively low wages and meager funds allocated to the colonial department as decisive factors in this scandal, but the mainstream view within government circles seems to be that a culture of corruption in the private sector should bear responsibility for this poor state of the colonial department.
EVTOPTA14760;The government should take responsibility for its own shortcomings.
EVTOPTB14760;The colonial department is just affected by the general environment — it's the pervasive culture of corruption that should be blamed!
EVTNAME14770;All Roads Lead to $CAPITAL$
EVTDESC14770;Our growing colonies have made $CAPITAL$ the center of an expanding economic and cultural empire. Every day, every hour, people from every conceivable corner of our world gather at our capital, flattering ministers, trading with merchants, engineers and industrialists, and meeting the fate that $CAPITAL$ bestows upon her visitors. Standing in the heart of $CAPITAL$, you can see a panorama of the entire world around you, hear every language and accent, and smell fragrant breezes from distant continents. In the annals of the $COUNTRY_ADJ$ Empire, the year $YEAR$ will forever be remembered as the Golden Age of $CAPITAL$.
EVTOPTA14770;...May this memory endure forever
EVTNAME14780;Colonial Disease
EVTDESC14780;Discovering new lands also means discovering new diseases. One of our colonies has recently become known as a place particularly plagued by disease. It seems every traveler entering or leaving this colony always catches or brings back something extra and unpleasant: from typhoid to dysentery, various common or rare diseases. A report by a $COUNTRY_ADJ$ doctor permanently stationed in this colony states that a government-coordinated effort to drain local swamps and improve sanitation facilities would greatly benefit the colony, but it will obviously cost a lot of money.
EVTOPTA14780;...Then let's ignore him
EVTOPTB14780;Obviously we must help this colony change its current condition.
EVTNAME14790;Colonial Development
EVTDESC14790;One of our colonies has achieved tremendous success in colonial activities and local commerce. The local government attributes the main factor to an ambitious land reform jointly implemented by $COUNTRY_ADJ$ capitalists and industrialists. According to reports, the colony is showing more attraction to immigrants, and the industrial sector is very satisfied with the report's content.
EVTOPTA14790;This is great news!
EVTOPTB14790;Cover up these reports — don't let the capitalists become arrogant!
EVTNAME14800;Colonial Archaeology
EVTDESC14800;An archaeological excavation in one of our colonies has yielded a large number of wonderful prehistoric artifacts, tentatively dated to the late Paleolithic period. This discovery will certainly provide new insights into our understanding of ancient life and local development history. The $COUNTRY_ADJ$ Archaeological Society has hailed this as a great breakthrough in $COUNTRY_ADJ$ archaeology. These ancient artifacts obviously need to be placed in a museum, but where is more appropriate? The Archaeological Society strongly demands they be placed in the $CAPITAL$ History Museum, while others suggest it's best to keep them in a local museum.
EVTOPTA14800;These things should be displayed near there.
EVTOPTB14800;These things can educate our next generation about humanity's shared heritage.
EVTNAME14810;Sleepless Natives
EVTDESC14810;Something is wrong in one of our colonies. The local economy is controlled by several well-known $CAPITAL$ capitalists. One of their small enterprises, a local workshop, operates until early morning every day according to Western industrial standards, and the noise from the workshop keeps all nearby residents awake. This scene has become a symbol of the oppression and frustration that accompanies our colonial rule.
EVTOPTA14810;If the workshop needs to operate until early morning, why should we complain?
EVTOPTB14810;I think we can stop by the local chamber of commerce and talk to the lads about this...
POP_DETAILS_MONEY;Cash:
POP_DETAILS_INCOME;Income:
POP_DETAILS_BANK;Savings:
POP_DETAIL_LIFENEEDS;Basic Needs
POP_DETAIL_EVERYDAYNEEDS;Daily Needs
POP_DETAIL_LUXUARYNEEDS;Luxury Needs
CLICK_FOR_DETAILS;Click for details.
CZH;Czechoslovakia
CZH_ADJ;Czechoslovak
CZH_fascist;Czechoslovak National Socialist Party
CZH_socialist;Czech Social Democratic Party
CZH_conservative;Czechoslovak People's Party
CZH_liberal;Farmers and Smallholders Republican Party
CZH_communist;Czechoslovak Communist Party
CZH_reactionary;Supreme Council of Defense
CZH_anarcho_liberal;Czech Liberal
YUG;Yugoslavia
YUG_ADJ;Yugoslav
YUG_fascist;National Front
YUG_socialist;Social Democratic Party
YUG_conservative;Conservative Party
YUG_liberal;People's Party
YUG_communist;Communist Party
YUG_reactionary;Monarchist Party
YUG_anarcho_liberal;Liberal Party
AZB;Azerbaijan
AZB_ADJ;Azerbaijani
AZB_fascist;National Front
AZB_socialist;Muslim Social Democratic Party
AZB_conservative;Union Party
AZB_liberal;Equality Party
AZB_communist;Bolshevik Party
AZB_reactionary;National Party
AZB_anarcho_liberal;Radical Liberal Party
IRQ;Iraq
IRQ_ADJ;Iraqi
IRQ_reactionary;Hashemite
IRQ_socialist;Ba'ath Party
IRQ_communist;Communist Party
IRQ_liberal;Liberal Party
IRQ_anarcho_liberal;Radical Liberal Party
IRQ_conservative;Conservative Party
IRQ_fascist;Unity Party
MGL;Mongolia
MGL_ADJ;Mongolian
MGL_reactionary;Lamaist
MGL_socialist;Socialist Party
MGL_communist;Communist Party
MGL_liberal;Liberal Party
MGL_anarcho_liberal;Radical Liberal Party
MGL_conservative;Conservative Party
MGL_fascist;Unity Party
PHI;Philippines
PHI_ADJ;Philippine
PHI_reactionary;Traditional Party
PHI_socialist;Democratic Party
PHI_communist;Communist Party
PHI_liberal;Liberal Party
PHI_anarcho_liberal;Radical Liberal Party
PHI_conservative;Nationalist Party
PHI_fascist;Fascist Party
MCK;Manchuria
MCK_ADJ;Manchurian
MCK_reactionary;Restorationists
MCK_socialist;Manchurian Socialist Party
MCK_communist;Chinese Communist Party
MCK_liberal;Liberal Party
MCK_conservative;Court Faction
MCK_fascist;Fascist Party
MCK_anarcho_liberal;Very Unreliable Candidate
CHI_1504;Guangxi
CHI_1529;Hunan
CHI_1499;Guangdong
GXI;Guangxi Clique
GXI_ADJ;Guangxi
GXI_reactionary;Lu Rongting Faction
GXI_socialist;Chinese National Socialist Party
GXI_communist;Chinese Communist Party
GXI_liberal;Chinese Liberal Party
GXI_conservative;Chinese Nationalist Party
GXI_fascist;Chinese Youth Party
GXI_anarcho_liberal;Anarchist Faction
CHI_1576;Shanxi
